12月6日,何かに落ちたり何かを落とす,Ur2Yxipmg5w,http://newlifecollection.com/ca82/476/p-r-s/
11月1日,空,7UI5u-suxig,http://newlifecollection.com/ca82/464/p-r-s/
10月4日,靴の上から靴を履く,LPlODq-ZKTE,http://newlifecollection.com/ca82/456/p-r-s/
9月6日,近方ぼやぼや,4iRCoFB2qZw,http://newlifecollection.com/ca82/373/p0-r34-s/
8月2日,昆虫を探す,MQsOJ9NNrho,http://newlifecollection.com/ca82/364/p0-r34-s/
7月5日,風を映す,YcO45vs8_Tc,http://newlifecollection.com/ca82/363/p0-r34-s/
6月7日,水を眺める,LfpdOdqrqSI,http://newlifecollection.com/ca82/333/p0-r34-s/
5月3日,食事の準備,YrDo1Zg2avg,http://newlifecollection.com/ca82/185/p0-r34-s/
4月5日,お花見,bVyJ3xpF9jI,http://newlifecollection.com/ca82/24/p1-r34-s/
3月8日,BnA Alter Museumで開催される特別企画展「楽観のテクニック」で発表するペフにようる現代美術作品「プレイタイムズ」の搬入,AnqKtwk7mKU,http://newlifecollection.com/ca82/5/p1-r34-s/
